system,conc,temp,SLT_IDs,n_step,n_deriv,dir,pdbfile,dcdfile,resfiles,ff_files
p4444_tfa_water,0.05,300,35,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,213,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,195,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,192,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,11,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,91,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,167,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,17,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,217,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,73,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
